
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   _elev,yoke1 |   ailrn,yoke1 |   ruddr,yoke1 |   _trim,_elev |   _trim,ailrn |   _trim,ruddr |   _flap,handl |   _flap,postn |   _slat,ratio |   sbrak,handl |   sbrak,postn |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,south |   __lon,_west |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm |   thro1,_part |   mixt1,ratio |   rpm_1,engin |   rpm_1,_prop |   ptch1,__deg |   genr1,__0/1 | 
    576.93646 |      26.65067 |      26.65067 |       0.00000 |       2.14695 |      18.14695 |       0.61383 |       0.00000 |       0.00001 |       0.00001 |       0.00001 |       0.00000 |       0.00001 |       0.00001 |       0.00000 |       0.00153 |       0.99843 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00003 |       0.00001 |       0.00000 |       2.26402 |       0.58915 |     179.80711 |     164.56970 |      47.15623 |    -122.09319 |     675.58221 |       0.22098 |       1.00000 |     675.58221 |      46.00000 |    -124.00000 |   30795.42383 |     107.64474 |  -17471.91797 |       0.00000 |       0.00000 |       0.00000 |       0.22208 |       0.00004 |       0.00000 |       1.00000 |     513.15942 |     513.15942 |       0.00000 |       1.00000 | 
    577.03851 |      26.75272 |      26.75272 |       0.00000 |       2.14698 |      18.14698 |       0.61386 |       0.00000 |       0.00002 |       0.00002 |       0.00002 |       0.00000 |       0.00002 |       0.00002 |       0.00000 |       0.00137 |       0.99839 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00005 |       0.00001 |       0.00000 |       2.26401 |       0.58926 |     179.80711 |     164.56970 |      47.15623 |    -122.09319 |     675.58221 |       0.22098 |       1.00000 |     675.58221 |      46.00000 |    -124.00000 |   30795.42383 |     107.64474 |  -17471.91797 |       0.00000 |       0.00001 |       0.00000 |       0.22208 |       0.00004 |       0.00000 |       1.00000 |     513.94647 |     513.94647 |       0.00000 |       1.00000 | 
    577.13995 |      26.85416 |      26.85416 |       0.00000 |       2.14701 |      18.14701 |       0.61389 |       0.00000 |       0.00004 |       0.00004 |       0.00004 |       0.00000 |       0.00005 |       0.00005 |       0.00000 |       0.00120 |       0.99834 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00006 |       0.00001 |       0.00000 |       2.26399 |       0.58935 |     179.80711 |     164.56970 |      47.15623 |    -122.09319 |     675.58221 |       0.22098 |       1.00000 |     675.58221 |      46.00000 |    -124.00000 |   30795.42383 |     107.64474 |  -17471.91797 |       0.00000 |      -0.00002 |       0.00000 |       0.22209 |       0.00004 |       0.00000 |       1.00000 |     514.71802 |     514.71802 |       0.00000 |       1.00000 | 
    577.23975 |      26.95396 |      26.95396 |       0.00000 |       2.14704 |      18.14704 |       0.61392 |       0.00000 |       0.00008 |       0.00008 |       0.00008 |       0.00000 |       0.00009 |       0.00009 |       0.00000 |       0.00043 |       0.99842 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00001 |      -0.00003 |       0.00000 |       2.26401 |       0.58926 |     179.80711 |     164.56970 |      47.15623 |    -122.09319 |     675.58221 |       0.22097 |       1.00000 |     675.58221 |      46.00000 |    -124.00000 |   30795.42383 |     107.64474 |  -17471.91797 |       0.00000 |      -0.00004 |       0.00000 |       0.22210 |       0.00004 |       0.00000 |       1.00000 |     515.47302 |     515.47302 |       0.00000 |       1.00000 | 
    577.33588 |      27.05009 |      27.05009 |       0.00000 |       2.14706 |      18.14706 |       0.61394 |       0.00000 |       0.00006 |       0.00006 |       0.00006 |       0.00000 |       0.00007 |       0.00007 |       0.00000 |      -0.00038 |       0.99838 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00001 |      -0.00001 |       0.00000 |       2.26405 |       0.58914 |     179.80711 |     164.56970 |      47.15623 |    -122.09319 |     675.58221 |       0.22096 |       1.00000 |     675.58221 |      46.00000 |    -124.00000 |   30795.42383 |     107.64473 |  -17471.91797 |       0.00000 |      -0.00003 |       0.00000 |       0.22211 |       0.00004 |       0.00000 |       1.00000 |     516.18750 |     516.18750 |       0.00000 |       1.00000 | 
    577.43835 |      27.15257 |      27.15257 |       0.00000 |       2.14709 |      18.14709 |       0.61397 |       0.00000 |       0.00003 |       0.00003 |       0.00003 |       0.00000 |       0.00004 |       0.00004 |       0.00000 |      -0.00053 |       0.99840 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00003 |       0.00001 |       0.00000 |       2.26397 |       0.58916 |     179.80711 |     164.56970 |      47.15623 |    -122.09319 |     675.58221 |       0.22095 |       1.00000 |     675.58215 |      46.00000 |    -124.00000 |   30795.42383 |     107.64473 |  -17471.91797 |       0.00000 |       0.00002 |       0.00000 |       0.22212 |       0.00004 |       0.00000 |       1.00000 |     516.95142 |     516.95142 |       0.00000 |       1.00000 | 
    577.53674 |      27.25095 |      27.25095 |       0.00000 |       2.14712 |      18.14712 |       0.61400 |       0.00000 |       0.00005 |       0.00005 |       0.00005 |       0.00000 |       0.00006 |       0.00006 |       0.00000 |       0.00010 |       0.99848 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00005 |      -0.00001 |       0.00000 |       2.26396 |       0.58913 |     179.80711 |     164.56970 |      47.15623 |    -122.09319 |     675.58221 |       0.22096 |       1.00000 |     675.58221 |      46.00000 |    -124.00000 |   30795.42383 |     107.64474 |  -17471.91797 |       0.00000 |       0.00003 |       0.00000 |       0.22213 |       0.00004 |       0.00000 |       1.00000 |     517.68555 |     517.68555 |       0.00000 |       1.00000 | 
    577.63904 |      27.35325 |      27.35325 |       0.00000 |       2.14715 |      18.14715 |       0.61403 |       0.00000 |       0.00003 |       0.00004 |       0.00004 |       0.00000 |       0.00004 |       0.00004 |       0.00000 |       0.00060 |       0.99844 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00006 |       0.00000 |       0.00000 |       2.26389 |       0.58912 |     179.80711 |     164.56970 |      47.15623 |    -122.09319 |     675.58221 |       0.22097 |       1.00000 |     675.58221 |      46.00000 |    -124.00000 |   30795.42383 |     107.64474 |  -17471.91797 |       0.00000 |       0.00002 |       0.00000 |       0.22213 |       0.00004 |       0.00000 |       1.00000 |     518.43860 |     518.43860 |       0.00000 |       1.00000 | 
    577.73932 |      27.45353 |      27.45353 |       0.00000 |       2.14717 |      18.14717 |       0.61405 |       0.00000 |       0.00003 |       0.00003 |       0.00003 |       0.00000 |       0.00003 |       0.00003 |       0.00000 |       0.00090 |       0.99835 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00003 |       0.00000 |       0.00000 |       2.26387 |       0.58916 |     179.80711 |     164.56970 |      47.15623 |    -122.09319 |     675.58221 |       0.22098 |       1.00000 |     675.58221 |      46.00000 |    -124.00000 |   30795.42383 |     107.64474 |  -17471.91797 |       0.00000 |       0.00001 |       0.00000 |       0.22214 |       0.00004 |       0.00000 |       1.00000 |     519.17499 |     519.17499 |       0.00000 |       1.00000 | 
    577.84161 |      27.55582 |      27.55582 |       0.00000 |       2.14720 |      18.14720 |       0.61408 |       0.00000 |       0.00001 |       0.00001 |       0.00001 |       0.00000 |       0.00001 |       0.00001 |       0.00000 |       0.00112 |       0.99821 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00002 |       0.00000 |       0.00000 |       2.26390 |       0.58919 |     179.80711 |     164.56970 |      47.15623 |    -122.09319 |     675.58221 |       0.22098 |       1.00000 |     675.58221 |      46.00000 |    -124.00000 |   30795.42383 |     107.64474 |  -17471.91797 |       0.00000 |       0.00000 |       0.00000 |       0.22215 |       0.00004 |       0.00000 |       1.00000 |     519.92340 |     519.92340 |       0.00000 |       1.00000 | 
    577.94269 |      27.65690 |      27.65690 |       0.00000 |       2.14723 |      18.14723 |       0.61411 |       0.00000 |       0.00005 |       0.00005 |       0.00005 |       0.00000 |       0.00005 |       0.00005 |       0.00000 |       0.00067 |       0.99843 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00002 |      -0.00000 |       0.00000 |       2.26390 |       0.58922 |     179.80711 |     164.56970 |      47.15623 |    -122.09319 |     675.58221 |       0.22098 |       1.00000 |     675.58221 |      46.00000 |    -124.00000 |   30795.42383 |     107.64474 |  -17471.91797 |       0.00000 |      -0.00002 |       0.00000 |       0.22215 |       0.00004 |       0.00000 |       1.00000 |     520.65283 |     520.65283 |       0.00000 |       1.00000 | 
    578.04541 |      27.75962 |      27.75962 |       0.00000 |       2.14726 |      18.14726 |       0.61414 |       0.00000 |       0.00005 |       0.00005 |       0.00005 |       0.00000 |       0.00006 |       0.00006 |       0.00000 |       0.00008 |       0.99836 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00002 |       0.00000 |       0.00000 |       2.26394 |       0.58921 |     179.80711 |     164.56970 |      47.15623 |    -122.09319 |     675.58221 |       0.22097 |       1.00000 |     675.58221 |      46.00000 |    -124.00000 |   30795.42383 |     107.64474 |  -17471.91797 |       0.00000 |      -0.00003 |       0.00000 |       0.22216 |       0.00004 |       0.00000 |       1.00000 |     521.38080 |     521.38080 |       0.00000 |       1.00000 | 
    578.14832 |      27.86253 |      27.86253 |       0.00000 |       2.14729 |      18.14729 |       0.61417 |       0.00000 |       0.00005 |       0.00005 |       0.00005 |       0.00000 |       0.00006 |       0.00006 |       0.00000 |      -0.00038 |       0.99845 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00005 |      -0.00000 |       0.00000 |       2.26395 |       0.58921 |     179.80711 |     164.56970 |      47.15623 |    -122.09319 |     675.58221 |       0.22096 |       1.00000 |     675.58221 |      46.00000 |    -124.00000 |   30795.42383 |     107.64474 |  -17471.91797 |       0.00000 |      -0.00003 |       0.00000 |       0.22217 |       0.00004 |       0.00000 |       1.00000 |     522.10046 |     522.10046 |       0.00000 |       1.00000 | 
    578.24915 |      27.96336 |      27.96336 |       0.00000 |       2.14732 |      18.14732 |       0.61420 |       0.00000 |       0.00001 |       0.00001 |       0.00001 |       0.00000 |       0.00001 |       0.00001 |       0.00000 |      -0.00046 |       0.99850 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00003 |       0.00002 |       0.00000 |       2.26404 |       0.58929 |     179.80711 |     164.56970 |      47.15623 |    -122.09319 |     675.58221 |       0.22096 |       1.00000 |     675.58221 |      46.00000 |    -124.00000 |   30795.42383 |     107.64474 |  -17471.91797 |       0.00000 |       0.00000 |       0.00000 |       0.22217 |       0.00004 |       0.00000 |       1.00000 |     522.78955 |     522.78955 |       0.00000 |       1.00000 | 
